datetime temp humidity pressure VOC pm2.5
52-92-00 20:48:17 26 71.7 1015.9 34950.0 7
52-92-00 20:48:26 26 71.7 1015.9 34812.0 12
52-92-00 20:48:34 26 71.6 1015.9 35173.0 12
52-92-00 20:48:42 26 71.6 1015.9 34867.0 12
52-92-00 20:48:51 26 71.6 1015.9 35314.0 15
52-92-00 20:48:59 26 71.6 1015.9 34977.0 5
52-92-00 20:49:07 26 71.5 1015.9 35117.0 15
52-92-00 20:49:16 26 71.5 1015.9 35117.0 5
52-92-00 20:49:24 26 71.4 1015.9 35570.0 5
52-92-00 20:49:32 26 71.4 1015.9 35342.0 7
52-92-00 20:49:41 26 71.4 1015.9 35484.0 7
52-92-00 20:49:49 26 71.4 1015.9 35714.0 12
52-92-00 20:49:58 26 71.3 1015.9 35145.0 10
52-92-00 20:50:06 26 71.3 1015.9 35743.0 5
52-92-00 20:50:14 26 71.3 1015.9 35801.0 7
52-92-00 20:50:23 26 71.3 1015.9 35772.0 10
52-92-00 20:50:31 26 71.2 1015.9 35772.0 10
52-92-00 20:50:39 26 71.2 1015.9 35627.0 5
52-92-00 20:50:48 26 71.2 1015.9 36035.0 5
52-92-00 20:50:56 26 71.1 1015.9 36035.0 5
52-92-00 20:51:04 26 71.1 1015.9 36035.0 7
52-92-00 20:51:13 26 71.1 1015.9 35917.0 15
52-92-00 20:51:21 26 71.1 1015.9 35976.0 17
52-92-00 20:51:30 26 71.0 1015.9 36005.0 10
52-92-00 20:51:38 26 71.0 1015.9 36123.0 7
52-92-00 20:51:46 26 71.0 1015.9 35830.0 7
52-92-00 20:51:55 26 71.0 1015.9 36302.0 10
52-92-00 20:52:03 26 70.9 1015.9 36272.0 20
52-92-00 20:52:12 26 70.9 1015.9 36153.0 5
52-92-00 20:52:20 26 70.9 1015.9 36362.0 12
52-92-00 20:52:28 26 70.9 1015.9 36242.0 10
52-92-00 20:52:37 26 70.8 1015.9 36512.0 5
52-92-00 20:52:45 26 70.8 1015.9 36332.0 5
52-92-00 20:52:53 26 70.8 1015.9 36123.0 12
52-92-00 20:53:02 26 70.8 1015.9 36362.0 5
52-92-00 20:53:10 26 70.8 1015.9 36362.0 7
52-92-00 20:53:19 26 70.7 1015.9 36573.0 5
52-92-00 20:53:27 26 70.7 1015.9 36573.0 12
52-92-00 20:53:36 26 70.7 1015.9 36482.0 10
52-92-00 20:53:44 27 70.7 1015.9 36603.0 5
52-92-00 20:53:52 27 70.6 1015.9 36452.0 17
52-92-00 20:54:01 27 70.6 1015.9 36756.0 5
52-92-00 20:54:09 27 70.6 1015.9 36971.0 22
52-92-00 20:54:17 27 70.6 1015.9 36878.0 5
52-92-00 20:54:26 27 70.6 1015.9 36878.0 12
52-92-00 20:54:34 27 70.5 1015.9 36909.0 5
52-92-00 20:54:42 27 70.5 1015.9 36817.0 5
52-92-00 20:54:51 27 70.5 1016.0 37002.0 7
52-92-00 20:54:59 27 70.5 1016.0 36817.0 10
52-92-00 20:55:07 27 70.5 1016.0 36848.0 10
52-92-00 20:55:16 27 70.4 1015.9 37158.0 7
52-92-00 20:55:24 27 70.4 1016.0 37127.0 7
52-92-00 20:55:32 27 70.4 1016.0 36971.0 12
52-92-00 20:55:41 27 70.4 1016.0 37158.0 5
52-92-00 20:55:49 27 70.4 1016.0 37347.0 7
52-92-00 20:55:58 27 70.3 1016.0 37033.0 7
52-92-00 20:56:06 27 70.3 1016.0 37189.0 5
52-92-00 20:56:14 27 70.3 1016.0 37252.0 5
52-92-00 20:56:23 27 70.3 1016.0 37315.0 7
52-92-00 20:56:31 27 70.3 1016.0 37378.0 5
52-92-00 20:56:39 27 70.2 1016.0 37506.0 5
52-92-00 20:56:48 27 70.2 1016.0 37474.0 10
52-92-00 20:56:56 27 70.2 1016.0 37378.0 7
52-92-00 20:57:04 27 70.2 1016.0 37284.0 7
52-92-00 20:57:13 27 70.2 1016.0 37506.0 7
52-92-00 20:57:21 27 70.2 1016.0 37474.0 5
52-92-00 20:57:30 27 70.2 1016.0 37506.0 7
52-92-00 20:57:38 27 70.1 1016.0 37474.0 10
52-92-00 20:57:46 27 70.1 1016.0 37442.0 15
52-92-00 20:57:55 27 70.1 1016.0 37506.0 7
52-92-00 20:58:03 27 70.1 1016.0 37602.0 5
52-92-00 20:58:12 27 70.1 1016.0 37730.0 10
52-92-00 20:58:20 27 70.1 1016.0 37634.0 10
52-92-00 20:58:28 27 70.0 1016.0 37698.0 7
52-92-00 20:58:37 27 70.0 1016.0 37795.0 5
52-92-00 20:58:45 27 70.0 1016.0 37763.0 5
52-92-00 20:58:54 27 70.0 1016.0 37763.0 7
52-92-00 20:59:02 27 70.0 1016.0 37763.0 5
52-92-00 20:59:10 27 70.0 1016.0 37795.0 5
52-92-00 20:59:19 27 70.0 1016.0 37925.0 10
52-92-00 20:59:27 27 69.9 1016.0 38023.0 10
52-92-00 20:59:35 27 69.9 1016.0 37990.0 7
52-92-00 20:59:44 27 69.9 1015.9 37990.0 5
52-92-00 20:59:52 27 69.9 1016.0 37990.0 12
52-92-00 21:00:00 27 69.9 1016.0 38056.0 5
52-92-00 21:00:09 27 69.9 1016.0 38089.0 7
52-92-00 21:00:17 27 69.8 1016.0 38122.0 5
52-92-00 21:00:26 27 69.8 1015.9 38023.0 7
52-92-00 21:00:34 27 69.8 1015.9 38221.0 7
52-92-00 21:00:42 27 69.8 1015.9 38254.0 5
52-92-00 21:00:51 27 69.8 1016.0 38221.0 5
52-92-00 21:00:59 27 69.8 1015.9 38188.0 5
52-92-00 21:01:07 27 69.8 1015.9 38188.0 7
52-92-00 21:01:16 27 69.8 1015.9 38254.0 5
52-92-00 21:01:24 27 69.7 1015.9 38122.0 15
52-92-00 21:01:32 27 69.7 1015.9 38420.0 7
52-92-00 21:01:41 27 69.7 1015.9 38354.0 5
52-92-00 21:01:49 27 69.7 1015.9 38387.0 7
52-92-00 21:01:58 27 69.7 1015.9 38254.0 5
52-92-00 21:02:06 27 69.7 1015.9 38254.0 7
52-92-00 21:02:14 27 69.7 1015.9 38521.0 10
52-92-00 21:02:23 27 69.7 1015.9 38387.0 10
52-92-00 21:02:31 27 69.6 1015.9 38555.0 5
52-92-00 21:02:39 27 69.6 1015.9 38521.0 5
52-92-00 21:02:48 27 69.6 1015.9 38487.0 7
52-92-00 21:02:56 27 69.6 1015.9 38287.0 5
52-92-00 21:03:05 27 69.6 1015.9 38387.0 5
52-92-00 21:03:13 27 69.6 1015.9 38387.0 5
52-92-00 21:03:21 27 69.6 1015.9 38454.0 12
52-92-00 21:03:30 27 69.5 1015.9 38555.0 7
52-92-00 21:03:38 27 69.5 1015.9 38354.0 5
52-92-00 21:03:47 27 69.5 1015.9 38690.0 5
52-92-00 21:03:55 27 69.5 1015.9 38387.0 5
52-92-00 21:04:03 27 69.5 1015.9 38656.0 7
52-92-00 21:04:12 27 69.5 1015.9 38656.0 7
52-92-00 21:04:20 27 69.5 1015.9 38656.0 5
52-92-00 21:04:29 27 69.5 1015.9 38860.0 5
52-92-00 21:04:37 27 69.5 1015.9 38588.0 5
52-92-00 21:04:45 27 69.5 1015.9 38895.0 7
52-92-00 21:04:54 27 69.4 1015.9 38860.0 7
52-92-00 21:05:02 27 69.4 1015.9 38860.0 5
52-92-00 21:05:10 27 69.4 1015.9 38826.0 5
52-92-00 21:05:19 27 69.4 1015.9 38792.0 10
52-92-00 21:05:27 27 69.4 1015.9 38826.0 7
52-92-00 21:05:36 27 69.4 1015.9 38998.0 7
52-92-00 21:05:44 27 69.4 1015.9 38963.0 5
52-92-00 21:05:52 27 69.4 1015.9 38792.0 5
52-92-00 21:06:01 27 69.4 1015.9 38929.0 7
52-92-00 21:06:09 27 69.3 1015.9 38895.0 5
52-92-00 21:06:17 27 69.3 1015.9 38895.0 10
52-92-00 21:06:26 27 69.3 1015.9 39102.0 5
52-92-00 21:06:34 27 69.3 1015.9 38929.0 7
52-92-00 21:06:42 27 69.3 1015.9 38895.0 5
52-92-00 21:06:51 27 69.3 1015.9 39206.0 5
52-92-00 21:06:59 27 69.3 1015.9 38998.0 10
52-92-00 21:07:07 27 69.3 1015.9 39136.0 15
52-92-00 21:07:16 27 69.3 1015.9 38929.0 7
52-92-00 21:07:24 27 69.3 1015.9 39241.0 7
52-92-00 21:07:33 27 69.3 1015.9 39067.0 10
52-92-00 21:07:41 27 69.2 1015.9 39276.0 10
52-92-00 21:07:49 27 69.2 1015.9 39206.0 10
52-92-00 21:07:58 27 69.2 1015.9 39241.0 12
52-92-00 21:08:06 27 69.2 1015.9 39241.0 10
52-92-00 21:08:14 27 69.2 1015.9 39102.0 7
52-92-00 21:08:23 27 69.2 1015.9 39206.0 5
52-92-00 21:08:31 27 69.2 1015.9 38963.0 7
52-92-00 21:08:40 27 69.2 1015.9 39276.0 5
52-92-00 21:08:48 27 69.2 1015.9 39276.0 5
52-92-00 21:08:56 27 69.1 1015.9 39032.0 5
52-92-00 21:09:05 27 69.1 1015.9 39311.0 5
52-92-00 21:09:13 27 69.1 1015.9 39032.0 5
52-92-00 21:09:22 27 69.1 1015.9 39102.0 12
52-92-00 21:09:30 27 69.1 1015.9 39593.0 5
52-92-00 21:09:38 27 69.1 1015.9 39206.0 7
52-92-00 21:09:47 27 69.1 1015.9 39416.0 10
52-92-00 21:09:55 27 69.1 1015.9 39346.0 5
52-92-00 21:10:04 27 69.1 1016.0 39171.0 5
52-92-00 21:10:12 27 69.1 1016.0 39381.0 7
52-92-00 21:10:20 27 69.1 1016.0 39451.0 5
52-92-00 21:10:29 27 69.0 1016.0 39557.0 7
52-92-00 21:10:37 27 69.0 1016.0 39487.0 7
52-92-00 21:10:45 27 69.0 1015.9 39593.0 5
52-92-00 21:10:54 27 69.0 1015.9 39700.0 7
52-92-00 21:11:02 27 69.0 1015.9 39522.0 12
52-92-00 21:11:10 27 69.0 1016.0 39522.0 12
52-92-00 21:11:19 27 69.0 1016.0 39557.0 12
52-92-00 21:11:27 27 69.0 1016.0 39843.0 7
52-92-00 21:11:35 27 69.0 1016.0 39664.0 5
52-92-00 21:11:44 27 69.0 1016.0 39557.0 10
52-92-00 21:11:52 27 69.0 1016.0 39843.0 30
52-92-00 21:12:01 27 69.0 1016.0 39772.0 7
52-92-00 21:12:09 27 69.0 1016.0 39557.0 5
52-92-00 21:12:17 27 68.9 1016.0 39664.0 5
